BookID,Title,AuthorID,GenreID,ISBN,Publisher,PublicationDate,Stock,Price,Photo
25,Midnight in the Garden of Good and Evil: A Savannah Story,197855,1169,0679429220,Vintage,1999-06-01,8,313.99,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
26,Pretend You Don't See Her,197501,444,0671867156,Simon & Schuster,1997-04-01,7,332.03,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
27,Fast Women,200919,444,0312252617,St. Martin's Paperbacks,2002-04-01,1,217.12,http://images.amazon.com/images/P/0312252617.01.LZZZZZZZ.jpg
28,Female Intelligence,153824,444,0312261594,St. Martin's Press,2001-04-01,4,476.76,http://images.amazon.com/images/P/0312261594.01.LZZZZZZZ.jpg
29,The Gospel of Judas: A Novel,209122,444,0316973742,Back Bay Books,2002-05-01,20,405.55,http://images.amazon.com/images/P/0316973742.01.LZZZZZZZ.jpg
30,The Pillars of the Earth,201629,444,0451166892,NAL Trade,2002-02-01,10,178.41,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg
31,The Five People You Meet in Heaven,201019,444,0786868716,Hachette Books,2003-04-01,10,458.32,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
32,Relics (Star Trek: The Next Generation),109349,444,0671864769,Star Trek,1992-11-01,18,159.1,http://images.amazon.com/images/P/0671864769.01.LZZZZZZZ.jpg
33,The Alibi,201648,444,0446608653,Grand Central Publishing,1999-09-01,1,132.88,http://images.amazon.com/images/P/0446608653.01.LZZZZZZZ.jpg
34,The Beach House,200884,444,0446612545,Grand Central Publishing,2003-05-01,15,205.63,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg
35,A Kiss Remembered,201648,444,0446612618,Warner Books,2002-04-01,20,331.58,http://images.amazon.com/images/P/0446612618.01.LZZZZZZZ.jpg
36,Dead Aim,202906,444,0553584383,Bantam,2003-04-01,17,362.3,http://images.amazon.com/images/P/0553584383.01.LZZZZZZZ.jpg
37,All He Ever Wanted: A Novel,202800,444,0316735736,Back Bay Books,2004-01-01,1,282.73,http://images.amazon.com/images/P/0316735736.01.LZZZZZZZ.jpg
38,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",153324,564,0345372700,Villard,1990-10-01,1,321.64,http://images.amazon.com/images/P/0345372700.01.LZZZZZZZ.jpg
39,The Girl Who Loved Tom Gordon,200829,444,0671042858,Pocket Books,2000-02-01,9,330.04,http://images.amazon.com/images/P/0671042858.01.LZZZZZZZ.jpg
40,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,204070,476,0743249992,Atria,2003-09-01,13,188.45,http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg
41,Before I Say Good-Bye,197501,444,0671004573,Simon & Schuster,2000-04-01,6,263.5,http://images.amazon.com/images/P/0671004573.01.LZZZZZZZ.jpg
42,Slow Waltz in Cedar Bend,205171,444,0446601640,Warner Books,1993-11-01,5,346.01,http://images.amazon.com/images/P/0446601640.01.LZZZZZZZ.jpg
43,Contact,140395,444,0505524996,Pocket Books: NY,1986-10-01,19,108.35,http://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg
44,Puerto Vallarta Squeeze,205171,444,044651747X,Grand Central Publishing,1995-10-01,15,251.28,http://images.amazon.com/images/P/044651747X.01.LZZZZZZZ.jpg
45,Wish You Well,200899,444,0446527165,Warner Books,2000-10-01,13,138.21,http://images.amazon.com/images/P/0446527165.01.LZZZZZZZ.jpg
46,Crow Lake (Today Show Book Club #7),198027,444,0385337639,Dial Press Trade Paperback,2003-01-01,14,365.24,http://images.amazon.com/images/P/0385337639.01.LZZZZZZZ.jpg
47,My Antonia,197578,444,039575514X,Mariner Books,1995-09-01,18,247.14,http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg
48,Pen Pals,198344,444,0451206673,Dutton Adult,2002-02-01,12,189.26,http://images.amazon.com/images/P/0451206673.01.LZZZZZZZ.jpg
49,Bridget Jones's Diary,200836,444,0330332775,Penguin Books,2001-04-01,10,61.74,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
50,The God of Small Things,201434,444,0060977493,Random House,1997-04-01,15,494.74,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg
51,Protect and Defend,209119,444,0345404793,Alfred A. Knopf,2000-01-01,9,116.95,http://images.amazon.com/images/P/0345404793.01.LZZZZZZZ.jpg
52,Memoirs of a Geisha,200874,444,0375400117,Vintage UK,1998-05-01,14,490.15,http://images.amazon.com/images/P/0375400117.01.LZZZZZZZ.jpg
53,Petals on the River,201749,444,038076654X,William Morrow Paperbacks,1997-12-01,13,77.22,http://images.amazon.com/images/P/038076654X.01.LZZZZZZZ.jpg
54,The Elusive Flame,201749,444,0380807866,Avon Books,1998-09-01,10,131.46,http://images.amazon.com/images/P/0380807866.01.LZZZZZZZ.jpg
55,Legacy of Silence,203406,444,0385316895,Delacorte Press,1998-04-01,20,372.57,http://images.amazon.com/images/P/0385316895.01.LZZZZZZZ.jpg
56,The Brethren,200885,444,0385497466,Doubleday,2000-02-01,11,335.7,http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg
57,The King of Torts,200885,444,0385508042,Doubleday,2003-03-01,17,91.13,http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg
58,Bleachers,200885,444,0385511612,Doubleday,2003-09-01,11,292.19,http://images.amazon.com/images/P/0385511612.01.LZZZZZZZ.jpg
59,The Rescue,200922,444,0446610399,Grand Central Pub,2000-09-01,12,306.2,http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg
60,Silent Snow,52516,444,0451186648,Signet,2000-09-01,13,305.55,http://images.amazon.com/images/P/0451186648.01.LZZZZZZZ.jpg
61,Girl with a Pearl Earring,201321,444,0452282152,Plume,2005-01-01,12,343.2,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
62,Summer of Storms,7815,444,051513290X,Jove,2002-06-01,19,240.64,http://images.amazon.com/images/P/051513290X.01.LZZZZZZZ.jpg
63,The Patient,207341,444,0553580388,Bantam,2000-04-01,12,380.95,http://images.amazon.com/images/P/0553580388.01.LZZZZZZZ.jpg
64,Clifford's Sports Day,197498,625,0590629719,Cartwheel,1996-03-01,8,337.15,http://images.amazon.com/images/P/0590629719.01.LZZZZZZZ.jpg
65,Deception Point,200855,444,0671027387,Pocket Books,2002-12-01,20,67.28,http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg
66,A Monk Swimming,200954,119,0786863986,Hyperion,1998-05-01,5,234.87,http://images.amazon.com/images/P/0786863986.01.LZZZZZZZ.jpg
67,Wicked: The Life and Times of the Wicked Witch of the West,202215,444,0060987103,William Morrow Paperbacks,2000-11-01,4,159.44,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg
68,Life of Pi,200875,444,0151008116,Mariner Books,2004-05-01,6,244.72,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg
69,The Weight of Water,202800,444,0316782505,Back Bay Books,1998-01-01,1,140.78,http://images.amazon.com/images/P/0316782505.01.LZZZZZZZ.jpg
70,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",205222,1247,0064472264,HarperTeen,2001-04-01,1,243.29,http://images.amazon.com/images/P/0064472264.01.LZZZZZZZ.jpg
71,The Wind in the Willows,203005,625,0312148267,Union Square Kids,2006-01-01,20,176.59,http://images.amazon.com/images/P/0312148267.01.LZZZZZZZ.jpg
72,"The Amber Spyglass (His Dark Materials, Book 3)",200960,1247,0375823352,Del Rey,2001-10-01,17,142.41,http://images.amazon.com/images/P/0375823352.01.LZZZZZZZ.jpg
73,"The Golden Compass (His Dark Materials, Book 1)",200960,1247,037582345X,Knopf Books for Young Readers,1998-07-01,19,425.3,http://images.amazon.com/images/P/037582345X.01.LZZZZZZZ.jpg
74,"The Subtle Knife (His Dark Materials, Book 2)",200960,1247,0375823468,Del Rey,1998-03-01,9,152.26,http://images.amazon.com/images/P/0375823468.01.LZZZZZZZ.jpg
75,Great Expectations (Dover Thrift Editions),200970,444,0486415864,Dover Publications,2001-08-01,3,469.21,http://images.amazon.com/images/P/0486415864.01.LZZZZZZZ.jpg
76,The Miracle Life of Edgar Mint: A Novel,105490,444,0375719180,Vintage,2002-05-01,19,156.25,http://images.amazon.com/images/P/0375719180.01.LZZZZZZZ.jpg
77,A Painted House,200885,444,044023722X,Dell,2001-12-01,9,283.75,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
78,The Romance Reader,81665,444,1573225487,Riverhead Books,1996-09-01,17,99.4,http://images.amazon.com/images/P/1573225487.01.LZZZZZZZ.jpg
79,The Battle for God,197236,973,0345391691,Knopf,2000-03-01,17,135.21,http://images.amazon.com/images/P/0345391691.01.LZZZZZZZ.jpg
80,Symposium,192206,444,0872200760,Houghton Mifflin,1990-11-01,9,157.75,http://images.amazon.com/images/P/0872200760.01.LZZZZZZZ.jpg
81,Babyhood,143513,564,0380728729,William Morrow,1997-08-01,1,254.19,http://images.amazon.com/images/P/0380728729.01.LZZZZZZZ.jpg
82,Dave Barry in Cyberspace,202387,564,0449912302,Ballantine Books,1997-09-01,18,403.81,http://images.amazon.com/images/P/0449912302.01.LZZZZZZZ.jpg
83,Waiting,51995,444,0812541642,Pantheon Books,1999-09-01,17,239.19,http://images.amazon.com/images/P/0812541642.01.LZZZZZZZ.jpg
84,The Hunt for Red October,201479,444,0425120279,Berkley,1990-03-01,20,146.59,http://images.amazon.com/images/P/0425120279.01.LZZZZZZZ.jpg
85,The Music Box,102242,444,067153484X,Pocket,1998-02-01,15,425.5,http://images.amazon.com/images/P/067153484X.01.LZZZZZZZ.jpg
86,Trying to Save Piggy Sneed,201511,444,1559703237,Ballantine Books,1997-02-01,16,164.14,http://images.amazon.com/images/P/1559703237.01.LZZZZZZZ.jpg
87,Bel Canto,202118,444,0060188731,Harper Perennial,2002-04-01,14,204.04,http://images.amazon.com/images/P/0060188731.01.LZZZZZZZ.jpg
88,The Secret Life of Bees,201081,444,0142001740,Penguin Books,2003-01-01,14,371.29,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
89,The Ladies of Missalonghi,201158,444,0380704587,Avon,1988-04-01,14,68.48,http://images.amazon.com/images/P/0380704587.01.LZZZZZZZ.jpg
90,The Firm,200885,444,0385416342,Dell Publishing Company,1992-02-01,1,420.23,http://images.amazon.com/images/P/0385416342.01.LZZZZZZZ.jpg
91,The Client,200885,444,038542471X,Doubleday,1993-03-01,5,423.9,http://images.amazon.com/images/P/038542471X.01.LZZZZZZZ.jpg
92,Lake News,198945,444,067103619X,Simon & Schuster,1999-07-01,15,486.2,http://images.amazon.com/images/P/067103619X.01.LZZZZZZZ.jpg
93,An Accidental Woman,198945,444,0743411269,Simon & Schuster,2002-07-01,12,273.91,http://images.amazon.com/images/P/0743411269.01.LZZZZZZZ.jpg
94,The Snow Garden,202377,444,0743470389,Miramax,2003-02-01,5,326.17,http://images.amazon.com/images/P/0743470389.01.LZZZZZZZ.jpg
96,Jonathan Livingston Seagull,203006,444,0380012863,Avon Books,1973-01-01,3,186.88,http://images.amazon.com/images/P/0380012863.01.LZZZZZZZ.jpg
97,Moonlight Becomes You,197501,444,0671867113,Simon & Schuster,1996-04-01,14,330.09,http://images.amazon.com/images/P/0671867113.01.LZZZZZZZ.jpg
98,The Florence King Reader,119260,444,0312143370,St. Martin's Griffin,1996-05-01,16,454.36,http://images.amazon.com/images/P/0312143370.01.LZZZZZZZ.jpg
99,Impossible Vacation,103693,444,039456894X,Vintage,1993-04-01,2,178.02,http://images.amazon.com/images/P/039456894X.01.LZZZZZZZ.jpg
100,Hannibal,200832,444,0440224675,Dell,2000-05-01,5,97.88,http://images.amazon.com/images/P/0440224675.01.LZZZZZZZ.jpg
101,Cavedweller,203399,444,0452279690,Dutton Adult,1998-03-01,20,409.31,http://images.amazon.com/images/P/0452279690.01.LZZZZZZZ.jpg
102,The Robber Bride,201201,444,0553569058,Bantam,1995-02-01,11,449.52,http://images.amazon.com/images/P/0553569058.01.LZZZZZZZ.jpg
103,Wouldn't Take Nothing for My Journey Now,201083,669,0679427430,Random House,1993-09-01,7,464.71,http://images.amazon.com/images/P/0679427430.01.LZZZZZZZ.jpg
104,The Firm,200885,444,044021145X,Dell Publishing Company,1992-02-01,20,248.09,http://images.amazon.com/images/P/044021145X.01.LZZZZZZZ.jpg
105,Dragonsong (Harper Hall Trilogy),198188,1247,0553258524,Simon Pulse,2003-04-01,15,488.56,http://images.amazon.com/images/P/0553258524.01.LZZZZZZZ.jpg
106,Cloud Nine,207956,444,055358099X,Bantam,2008-08-01,8,373.65,http://images.amazon.com/images/P/055358099X.01.LZZZZZZZ.jpg
107,The Lovely Bones,201118,444,0316168815,Back Bay Books,2009-09-01,12,127.89,http://images.amazon.com/images/P/0316168815.01.LZZZZZZZ.jpg
108,Sarah Conley,143070,444,0316314927,Back Bay Books,1998-08-01,14,73.01,http://images.amazon.com/images/P/0316314927.01.LZZZZZZZ.jpg
109,A Widow for One Year,201511,444,0345424719,Ballantine Books,1999-03-01,4,114.58,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg
110,The Clearing,133800,444,0375414746,Knopf,2003-06-01,17,464.04,http://images.amazon.com/images/P/0375414746.01.LZZZZZZZ.jpg
111,Empire Falls,203418,444,0375726403,Vintage,2002-04-01,9,455.41,http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg
112,Le Divorce (William Abrahams Book),111481,444,0452277337,Plume,1998-01-01,16,73.93,http://images.amazon.com/images/P/0452277337.01.LZZZZZZZ.jpg
113,The Face,200831,444,0553802488,Bantam,2003-05-01,15,491.22,http://images.amazon.com/images/P/0553802488.01.LZZZZZZZ.jpg
114,She's Come Undone (Oprah's Book Club),201664,444,0671021001,Pocket Books,1998-06-01,13,356.67,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg
115,Nickel and Dimed: On (Not) Getting By in America,202736,1063,0805063897,Holt Paperbacks,2002-05-01,3,363.96,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg
116,"The Game of Kings (Lymond Chronicles, 1)",102377,444,0679777431,Vintage,1997-04-01,15,490.01,http://images.amazon.com/images/P/0679777431.01.LZZZZZZZ.jpg
117,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),202129,444,0842329129,Tyndale House Publishers,1996-04-01,9,309.75,http://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg
118,Househusband,153569,444,0345451260,Ballantine Books,2002-04-01,12,275.5,http://images.amazon.com/images/P/0345451260.01.LZZZZZZZ.jpg
119,The Sky Is Falling,198499,444,0446610178,Grand Central Publishing,2001-07-01,4,435.98,http://images.amazon.com/images/P/0446610178.01.LZZZZZZZ.jpg
120,The 37th Hour,143208,444,0385337132,Delacorte Press,2003-12-01,4,78.49,http://images.amazon.com/images/P/0385337132.01.LZZZZZZZ.jpg
121,Be Cool,201550,444,0440235057,Delacorte Press,1999-02-01,1,153.24,http://images.amazon.com/images/P/0440235057.01.LZZZZZZZ.jpg
122,The Bean Trees,201154,444,0060915544,Harper Perennial,1989-02-01,10,85.91,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg
123,Daughter of Fortune,202829,444,0060932759,Harper Perennial,2000-09-01,15,442.52,http://images.amazon.com/images/P/0060932759.01.LZZZZZZZ.jpg
124,The Cat Who Wasn't There,199012,444,0399137807,Berkley,1993-06-01,19,225.25,http://images.amazon.com/images/P/0399137807.01.LZZZZZZZ.jpg
125,Light a Penny Candle,205305,444,0451203046,Berkley,2007-11-01,6,308.95,http://images.amazon.com/images/P/0451203046.01.LZZZZZZZ.jpg
126,Early Poems (Dover Thrift Editions),208713,890,0486292940,Dover Publications,2015-05-01,10,173.32,http://images.amazon.com/images/P/0486292940.01.LZZZZZZZ.jpg
127,Things My Girlfriend and I Have Argued About: A Novel,145257,444,081296666X,Villard,2003-01-01,15,317.19,http://images.amazon.com/images/P/081296666X.01.LZZZZZZZ.jpg
129,The Nanny Diaries: A Novel,201481,444,0312278586,St. Martin's Griffin,2003-03-01,14,273.55,http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg
130,"Punished by Rewards: The Trouble With Gold Stars, Incentive Plans, A'S, Praise, and Other Bribes",149150,937,0395710901,Houghton Mifflin Harcourt,1995-01-01,10,359.12,http://images.amazon.com/images/P/0395710901.01.LZZZZZZZ.jpg
131,Shock Wave (Dirk Pitt Adventures (Paperback)),197697,444,0671000306,Pocket Star,2008-05-01,7,441.27,http://images.amazon.com/images/P/0671000306.01.LZZZZZZZ.jpg
132,Everything Is Illuminated: A Novel,200871,444,0618173870,Harper Perennial,2003-04-01,15,400.3,http://images.amazon.com/images/P/0618173870.01.LZZZZZZZ.jpg
133,Life of Pi,200875,444,0156027321,Mariner Books,2004-05-01,2,178.1,http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg
134,Three Junes,203417,444,0385721420,Anchor Books,2003-05-01,2,398.06,http://images.amazon.com/images/P/0385721420.01.LZZZZZZZ.jpg
135,Back Roads,107502,444,0451202341,Viking Penguin,2000-01-01,10,262.08,http://images.amazon.com/images/P/0451202341.01.LZZZZZZZ.jpg
136,The Kiss,201743,444,0385335407,Delacorte Press,2001-10-01,8,462.44,http://images.amazon.com/images/P/0385335407.01.LZZZZZZZ.jpg
137,Ghost Moon,201754,444,0440225078,Delacorte Press,2000-02-01,8,366.94,http://images.amazon.com/images/P/0440225078.01.LZZZZZZZ.jpg
138,Strangers,207831,444,0425181111,Berkley,2009-11-01,2,160.58,http://images.amazon.com/images/P/0425181111.01.LZZZZZZZ.jpg
139,A Thousand Acres (Ballantine Reader's Circle),205071,444,0449907481,Ballantine Books,1992-08-01,16,398.03,http://images.amazon.com/images/P/0449907481.01.LZZZZZZZ.jpg
140,Four Blondes,202302,444,080213825X,Grove Press,2001-07-01,10,175.8,http://images.amazon.com/images/P/080213825X.01.LZZZZZZZ.jpg
141,River's End,201768,444,0515127833,Berkley,2000-05-01,6,433.9,http://images.amazon.com/images/P/0515127833.01.LZZZZZZZ.jpg
142,Summer Island,200933,444,0345441133,Ballantine Books,2002-06-01,15,307.98,http://images.amazon.com/images/P/0345441133.01.LZZZZZZZ.jpg
143,The Street Lawyer,200885,444,0385490992,Dell,1999-01-01,20,161.72,http://images.amazon.com/images/P/0385490992.01.LZZZZZZZ.jpg
144,The Chamber,200885,444,0385424728,Dell,1995-04-01,1,126.43,http://images.amazon.com/images/P/0385424728.01.LZZZZZZZ.jpg
145,The Teacher from the Black Lagoon,107426,625,0590419625,Cartwheel Books,2008-08-01,7,412.98,http://images.amazon.com/images/P/0590419625.01.LZZZZZZZ.jpg
146,Chosen Prey,201882,444,0425182878,G. P. Putnam's Sons,2001-05-01,13,141.81,http://images.amazon.com/images/P/0425182878.01.LZZZZZZZ.jpg
147,The Canopy,204977,444,0849943450,Thomas Nelson,2003-08-01,18,390.72,http://images.amazon.com/images/P/0849943450.01.LZZZZZZZ.jpg
151,Abduction,205309,444,042517736X,G.P. Putnam's Sons,2000-11-01,4,357.95,http://images.amazon.com/images/P/042517736X.01.LZZZZZZZ.jpg
152,"The Vampire Lestat (Vampire Chronicles, Book II)",201146,444,0345313860,Ballantine Books,1986-09-01,5,175.32,http://images.amazon.com/images/P/0345313860.01.LZZZZZZZ.jpg
153,The Hellfire Club,204036,444,0679401377,Ballantine Books,1997-06-01,8,265.75,http://images.amazon.com/images/P/0679401377.01.LZZZZZZZ.jpg
154,Vanished,201743,444,0385306032,Delacorte Press,1993-07-01,5,492.15,http://images.amazon.com/images/P/0385306032.01.LZZZZZZZ.jpg
155,We Are Our Mothers' Daughters,207012,1063,0688169678,Harper,1998-04-01,8,117.07,http://images.amazon.com/images/P/0688169678.01.LZZZZZZZ.jpg
157,Ralph S. Mouse,201738,625,0590687301,HarperCollins,2014-03-01,16,214.76,http://images.amazon.com/images/P/0590687301.01.LZZZZZZZ.jpg
158,Sacred Ground,205692,444,0812519655,St. Martin's Press,2001-09-01,2,322.51,http://images.amazon.com/images/P/0812519655.01.LZZZZZZZ.jpg
160,Children of the Night,205692,444,0812521129,G.P Putnam's Sons,1992-07-01,20,69.74,http://images.amazon.com/images/P/0812521129.01.LZZZZZZZ.jpg
161,Daisy Fay and the Miracle Man,202054,444,0446394521,Warner,1992-09-01,20,277.64,http://images.amazon.com/images/P/0446394521.01.LZZZZZZZ.jpg
162,Angela's Ashes: A Memoir,200952,119,068484267X,Scribner,1999-05-01,16,123.29,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg
163,"The Amber Spyglass (His Dark Materials, Book 3)",200960,1247,0345413377,Del Rey,2001-10-01,16,465.48,http://images.amazon.com/images/P/0345413377.01.LZZZZZZZ.jpg
164,"The Subtle Knife (His Dark Materials, Book 2)",200960,1247,0345413369,Del Rey,1998-03-01,8,111.82,http://images.amazon.com/images/P/0345413369.01.LZZZZZZZ.jpg
165,"The Golden Compass (His Dark Materials, Book 1)",200960,1247,0679893105,Knopf Books for Young Readers,1998-07-01,15,150.56,http://images.amazon.com/images/P/0679893105.01.LZZZZZZZ.jpg
166,"If Ever I Return, Pretty Peggy-O",110756,444,0345369068,Fawcett,1991-08-01,16,431.41,http://images.amazon.com/images/P/0345369068.01.LZZZZZZZ.jpg
167,The Rosewood Casket,110756,444,0451184718,Signet,1997-04-01,14,325.87,http://images.amazon.com/images/P/0451184718.01.LZZZZZZZ.jpg
168,Fast Food Nation: The Dark Side of the All-American Meal,201439,1063,0060938455,Houghton Mifflin Company,2001-01-01,17,64.76,http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg
169,Kissing in Manhattan,114799,444,0385335679,The Dial Press,2001-06-01,8,358.59,http://images.amazon.com/images/P/0385335679.01.LZZZZZZZ.jpg
170,Echoes,205305,444,0440122090,Delacorte Press,2004-10-01,16,282.28,http://images.amazon.com/images/P/0440122090.01.LZZZZZZZ.jpg
171,Someone to Watch Over Me : A Novel,201797,444,0671525832,Atria,2003-02-01,2,442.59,http://images.amazon.com/images/P/0671525832.01.LZZZZZZZ.jpg
172,Dark Lady,209119,444,0679450432,Knopf,1999-08-01,13,341.56,http://images.amazon.com/images/P/0679450432.01.LZZZZZZZ.jpg
173,Final Appeal,201137,444,0061042943,HarperTorch,2000-02-01,13,494.48,http://images.amazon.com/images/P/0061042943.01.LZZZZZZZ.jpg
174,Atonement,201869,444,0965404560,Anchor,2007-11-01,14,132.14,http://images.amazon.com/images/P/0965404560.01.LZZZZZZZ.jpg
175,"My Father, Dancing (Harvest Book)",163313,444,0156013967,Harper Perennial,2000-10-01,13,135.35,http://images.amazon.com/images/P/0156013967.01.LZZZZZZZ.jpg
176,Women on the Case,202327,444,0385314019,Delacorte Press,1996-05-01,8,458.56,http://images.amazon.com/images/P/0385314019.01.LZZZZZZZ.jpg
179,The True and Outstanding Adventures of the Hunt Sisters: A Novel,145042,444,0316735027,Back Bay Books,2005-01-01,6,305.01,http://images.amazon.com/images/P/0316735027.01.LZZZZZZZ.jpg
180,The Time Traveler's Wife,201119,444,193156146X,Harcourt,2004-05-01,1,133.35,http://images.amazon.com/images/P/193156146X.01.LZZZZZZZ.jpg
181,Strange Fits of Passion: A Novel,202800,444,015600710X,Harvest Books,1999-11-01,5,267.5,http://images.amazon.com/images/P/015600710X.01.LZZZZZZZ.jpg
182,The Monk Downstairs: A Novel,149709,444,0062517856,HarperOne,2002-07-01,6,357.62,http://images.amazon.com/images/P/0062517856.01.LZZZZZZZ.jpg
183,Davita's Harp,202813,444,0449207757,Fawcett,1986-01-01,2,138.42,http://images.amazon.com/images/P/0449207757.01.LZZZZZZZ.jpg
184,The Da Vinci Code,200855,444,0385504209,Doubleday,2003-04-01,16,356.74,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
185,The Rescue,200922,444,0446525502,Grand Central Pub,2000-09-01,14,492.46,http://images.amazon.com/images/P/0446525502.01.LZZZZZZZ.jpg
186,A Map of the World,197867,444,0385500769,Anchor,1992-05-01,8,345.94,http://images.amazon.com/images/P/0385500769.01.LZZZZZZZ.jpg
187,Edge of Danger,205314,444,0399147012,Putnam Adult,2001-02-01,14,75.34,http://images.amazon.com/images/P/0399147012.01.LZZZZZZZ.jpg
